,Moon,Date,Time,BP3,OC,People_total,ppl_msq,Tide,PreTide,PostTide
61,Hoku,20220713,0,36.94814522,87.42273174,0,0,0.038896442,0.021336,0.173736
62,Hoku,20220713,0,35.07697759,73.65826958,0,0,0.038896442,0.021336,0.173736
63,Hoku,20220713,0,35.89278637,70.9907929,0,0,0.038896442,0.021336,0.173736
64,Hoku,20220713,4,36.60598966,84.24081115,0,0,0.166576858,0.173736,-0.124968
65,Hoku,20220713,4,37.09776853,109.0872362,0,0,0.166576858,0.173736,-0.124968
66,Hoku,20220713,4,34.72788539,86.09180517,0,0,0.166576858,0.173736,-0.124968
67,Hoku,20220713,8,40.61739086,85.74695973,19,0.002357458,-0.106473955,0.173736,-0.124968
68,Hoku,20220713,8,43.31342763,101.3000547,19,0.002357458,-0.106473955,0.173736,-0.124968
69,Hoku,20220713,8,46.36871136,74.10712174,19,0.002357458,-0.106473955,0.173736,-0.124968
70,Hoku,20220713,9,0,0,32,0.003970455,-0.124378212,-0.124968,0.832104
71,Hoku,20220713,10,0,0,55,0.006824219,-0.077713027,-0.124968,0.832104
72,Hoku,20220713,11,0,0,76,0.00942983,0.036875314,-0.124968,0.832104
73,Hoku,20220713,12,38.36706859,195.3996377,56,0.006948296,0.206572104,-0.124968,0.832104
74,Hoku,20220713,12,35.84011183,274.5114127,56,0.006948296,0.206572104,-0.124968,0.832104
75,Hoku,20220713,12,34.65926699,136.7192916,56,0.006948296,0.206572104,-0.124968,0.832104
76,Hoku,20220713,13,0,0,31,0.003846378,0.404564088,-0.124968,0.832104
77,Hoku,20220713,14,0,0,55,0.006824219,0.595744706,-0.124968,0.832104
78,Hoku,20220713,15,0,0,57,0.007072373,0.744590738,-0.124968,0.832104
79,Hoku,20220713,16,240.6387819,1009.700288,77,0.009553907,0.823292232,-0.124968,0.832104
80,Hoku,20220713,16,247.2925472,552.9771927,77,0.009553907,0.823292232,-0.124968,0.832104
81,Hoku,20220713,16,234.7175561,975.5648447,77,0.009553907,0.823292232,-0.124968,0.832104
82,Hoku,20220713,17,0,0,72,0.008933523,0.818139588,0.832104,0.006096
83,Hoku,20220713,18,0,0,50,0.006203836,0.732597468,0.832104,0.006096
84,Hoku,20220713,19,0,0,27,0.003350071,0.586313585,0.832104,0.006096
85,Hoku,20220713,20,40.595046,146.7490578,4,0.000496307,0.410318407,0.832104,0.006096
86,Hoku,20220713,20,36.61414893,101.9387705,4,0.000496307,0.410318407,0.832104,0.006096
87,Hoku,20220713,20,40.2453101,94.46915879,4,0.000496307,0.410318407,0.832104,0.006096
88,Hoku,20220713,24,36.51674151,70.72412647,0,0,0.0070485,0.006096,0.185928
89,Hoku,20220713,24,34.58695112,73.08203036,0,0,0.0070485,0.006096,0.185928
90,Hoku,20220713,24,36.56925512,71.10330444,0,0,0.0070485,0.006096,0.185928
